"","PatientRace","PatientGender","PatientLanguage","PrimaryDiagnosisDescription","Frequency"
"43","African American","Female","English","Benign neoplasm of brain, supratentorial",263
"44","African American","Female","English","Benign neoplasm of carotid body",279
"45","African American","Female","English","Benign neoplasm of ciliary body",314
"46","African American","Female","English","Benign neoplasm of conjunctiva",158
"47","African American","Female","English","Benign neoplasm of duodenum",473
"48","African American","Female","English","Benign neoplasm of esophagus",303
"49","African American","Female","English","Benign neoplasm of hypopharynx",563
"50","African American","Female","English","Benign neoplasm of ill-defined sites within the digestive system",380
"51","African American","Female","English","Benign neoplasm of left bronchus and lung",329
"52","African American","Female","English","Benign neoplasm of left conjunctiva",184
"53","African American","Female","English","Benign neoplasm of liver",88
"54","African American","Female","English","Benign neoplasm of long bones of left lower limb",501
"55","African American","Female","English","Benign neoplasm of long bones of lower limb",402
"56","African American","Female","English","Benign neoplasm of lower jaw bone",191
"57","African American","Female","English","Benign neoplasm of major salivary glands",208
"58","African American","Female","English","Benign neoplasm of mediastinum",482
"59","African American","Female","English","Benign neoplasm of middle ear, nasal cavity and accessory sinuses",386
"60","African American","Female","English","Benign neoplasm of mouth and pharynx",264
"61","African American","Female","English","Benign neoplasm of nasopharynx",264
"62","African American","Female","English","Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip",339
"63","African American","Female","English","Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis",445
"64","African American","Female","English","Benign neoplasm of rectosigmoid junction",294
"65","African American","Female","English","Benign neoplasm of right cornea",228
"66","African American","Female","English","Benign neoplasm of right lacrimal gland and duct",221
"67","African American","Female","English","Benign neoplasm of right ovary",540
"68","African American","Female","English","Benign neoplasm of right retina",488
"69","African American","Female","English","Benign neoplasm of scapula and long bones of left upper limb",366
"70","African American","Female","English","Benign neoplasm of scapula and long bones of right upper limb",248
"71","African American","Female","English","Benign neoplasm of soft tissue of peritoneum",232
"72","African American","Female","English","Benign neoplasm of soft tissue of retroperitoneum",597
"73","African American","Female","English","Benign neoplasm of spinal cord",259
"74","African American","Female","English","Benign neoplasm of thymus",521
"75","African American","Female","English","Benign neoplasm of transverse colon",439
"76","African American","Female","English","Benign neoplasm of urethra",464
"77","African American","Female","English","Bipolar disorder, current episode depressed, mild",122
"78","African American","Female","English","Bipolar disorder, current episode depressed, moderate",436
"79","African American","Female","English","Bipolar disorder, current episode manic without psychotic features, mild",477
"80","African American","Female","English","Bipolar disorder, current episode manic without psychotic features, moderate",246
"81","African American","Female","English","Bipolar disorder, current episode mixed",405
"82","African American","Female","English","Bipolar disorder, current episode mixed, mild",214
"83","African American","Female","English","Bipolar disorder, current episode mixed, moderate",242
"84","African American","Female","English","Bipolar disorder, currently in remission",578
"85","African American","Female","English","Bipolar disorder, in full remission, most recent episode hypomanic",502
"86","African American","Female","English","Body dysmorphic disorder",248
"87","African American","Female","English","Brachial plexus disorders",119
"88","African American","Female","English","Breakdown (mechanical) of cardiac electrode",228
"89","African American","Female","English","Breakdown (mechanical) of cardiac pulse generator (battery)",336
"90","African American","Female","English","Breakdown (mechanical) of coronary artery bypass graft",258
"91","African American","Female","English","Breakdown (mechanical) of vascular dialysis catheter",567
"92","African American","Female","English","Cannabis abuse with cannabis-induced anxiety disorder",512
"93","African American","Female","English","Cannabis abuse with psychotic disorder",248
"94","African American","Female","English","Cannabis abuse with psychotic disorder with hallucinations",403
"95","African American","Female","English","Cannabis related disorders",307
"96","African American","Female","English","Cardiac allograft vasculopathy",165
"97","African American","Female","English","Cardiac arrest",191
"98","African American","Female","English","Cardiac arrest due to underlying cardiac condition",244
"99","African American","Female","English","Cardiac arrest following an ectopic and molar pregnancy",419
"100","African American","Female","English","Cardiac tamponade",358
"101","African American","Female","English","Cardiomyopathy in diseases classified elsewhere",534
"102","African American","Female","English","Carrier of bacterial disease due to streptococci",473
"103","African American","Female","English","Carrier of infectious disease",462
"104","African American","Female","English","Cat-scratch disease",472
"105","African American","Female","English","Cataract with neovascularization",1033
"106","African American","Female","English","Cerebrovascular disorders in diseases classified elsewhere",488
"107","African American","Female","English","Cervical disc disorder with radiculopathy",390
"108","African American","Female","English","Cervical disc disorder with radiculopathy, cervicothoracic region",226
"109","African American","Female","English","Childhood onset fluency disorder",112
"110","African American","Female","English","Chronic gout due to renal impairment, ankle and foot",160
"111","African American","Female","English","Chronic gout due to renal impairment, left elbow",445
"112","African American","Female","English","Chronic gout due to renal impairment, left knee",377
"113","African American","Female","English","Chronic gout due to renal impairment, multiple sites",968
"114","African American","Female","English","Chronic gout due to renal impairment, right elbow",142
"115","African American","Female","English","Chronic gout due to renal impairment, right hand",375
"116","African American","Female","English","Chronic gout due to renal impairment, right knee",376
"117","African American","Female","English","Chronic graft-versus-host disease",438
"118","African American","Female","English","Chronic inflammatory disease of uterus",519
"119","African American","Female","English","Chronic kidney disease, stage 3 (moderate)",82
"120","African American","Female","English","Chronic lymphocytic leukemia of B-cell type",319
"121","African American","Female","English","Chronic lymphocytic leukemia of B-cell type in remission",354
"122","African American","Female","English","Chronic myeloid leukemia, BCR/ABL-positive, in remission",488
"123","African American","Female","English","Chronic myelomonocytic leukemia not having achieved remission",258
"124","African American","Female","English","Chronic myelomonocytic leukemia, in remission",330
"125","African American","Female","English","Chronic myeloproliferative disease",345
"126","African American","Female","English","Chronic obstructive pulmonary disease with (acute) exacerbation",77
"127","African American","Female","English","Chronic respiratory disease originating in the perinatal period",502
"128","African American","Female","English","Chronic vascular disorders of intestine",898
"129","African American","Female","English","Circadian rhythm sleep disorder in conditions classified elsewhere",515
"130","African American","Female","English","Circadian rhythm sleep disorder, jet lag type",378
"131","African American","Female","English","Cocaine abuse with cocaine-induced anxiety disorder",376
"132","African American","Female","English","Complete loss of teeth due to periodontal diseases, class II",380
"133","African American","Female","English","Complete loss of teeth due to periodontal diseases, class IV",367
"134","African American","Female","English","Complications and ill-defined descriptions of heart disease",211
"135","African American","Female","English","Conduct disorder, childhood-onset type",481
"136","African American","Female","English","Congenital adrenogenital disorders associated with enzyme deficiency",131
"137","African American","Female","English","Congenital pulmonary arteriovenous malformation",455
"138","African American","Female","English","Congenital pulmonary valve insufficiency",475
"139","African American","Female","English","Congenital renal failure",265
"140","African American","Female","English","Contusion of adrenal gland",267
"141","African American","Female","English","Conversion disorder with motor symptom or deficit",197
"142","African American","Female","English","Conversion disorder with sensory symptom or deficit",149
"143","African American","Female","English","Corneal deposits in metabolic disorders",146
"144","African American","Female","English","Corneal deposits in metabolic disorders, left eye",428
"145","African American","Female","English","Corneal disorder due to contact lens, bilateral",522
"146","African American","Female","English","Corneal disorder due to contact lens, right eye",446
"147","African American","Female","English","Corneal neovascularization",211
"148","African American","Female","English","Coronary angioplasty status",286
"149","African American","Female","English","Coronary artery dissection",315
"150","African American","Female","English","Coxsackievirus as the cause of diseases classified elsewhere",505
"151","African American","Female","English","Crohns disease [regional enteritis]
98AEDEFE-362E-47C9-861E-4129B6D61437	2	B97.1	Enterovirus as the cause of diseases classified elsewhere
98AEDEFE-362E-47C9-861E-4129B6D61437	3	D30	Benign neoplasm of urinary organs
EB7463E0-6543-447E-AA04-CD429A11027D	1	D16.5	Benign neoplasm of lower jaw bone
EB7463E0-6543-447E-AA04-CD429A11027D	2	H47.621	Disorders of visual cortex in (due to) inflammatory disorders, right side of brain
2FFA4793-619F-4ED2-B42E-2F3239DB391A	1	M06.352	Rheumatoid nodule, left hip
2FFA4793-619F-4ED2-B42E-2F3239DB391A	2	H82.3	Vertiginous syndromes in diseases classified elsewhere, bilateral
2FFA4793-619F-4ED2-B42E-2F3239DB391A	3	C92.2	Atypical chronic myeloid leukemia, BCR/ABL-negative
3E4C9BF1-0424-4539-AD34-D7216705B758	1	K50.0	Crohns disease of small intestine",225
"152","African American","Female","English","Crohns disease of both small and large intestine with intestinal obstruction
8ECD2BAE-1D59-49A2-943A-4294EB13DDF6	6	M05.55	Rheumatoid polyneuropathy with rheumatoid arthritis of hip
7DB0643F-6834-4F06-A714-75648DA9F010	1	F11.14	Opioid abuse with opioid-induced mood disorder
7DB0643F-6834-4F06-A714-75648DA9F010	2	M10.312	Gout due to renal impairment, left shoulder
D65EBA7B-8469-4A14-82EB-954D6008C366	1	M53.3	Sacrococcygeal disorders, not elsewhere classified
A7581174-9450-4831-81EA-29BC667905C4	1	C79.61	Secondary malignant neoplasm of right ovary
A7581174-9450-4831-81EA-29BC667905C4	2	C76.4	Malignant neoplasm of upper limb
A7581174-9450-4831-81EA-29BC667905C4	3	B57	Chagas disease",133
"153","African American","Female","English","Crohns disease of both small and large intestine with rectal bleeding
CAB41C1E-BEB6-4FFA-B3ED-297E5E06B364	2	M06.332	Rheumatoid nodule, left wrist
CAB41C1E-BEB6-4FFA-B3ED-297E5E06B364	3	O98	Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
8D703A2E-453E-4CDB-8C27-3DCFD2528B73	1	F13	Sedative, hypnotic, or anxiolytic related disorders
8D703A2E-453E-4CDB-8C27-3DCFD2528B73	2	M84.563	Pathological fracture in neoplastic disease, right fibula
8D703A2E-453E-4CDB-8C27-3DCFD2528B73	3	C62.1	Malignant neoplasm of descended testis
41C1BA89-EF4A-40D2-9897-D7D70E864060	1	M90.662	Osteitis deformans in neoplastic diseases, left lower leg
41C1BA89-EF4A-40D2-9897-D7D70E864060	2	O99.351	Diseases of the nervous system complicating pregnancy, first trimester
41C1BA89-EF4A-40D2-9897-D7D70E864060	3	M90.841	Osteopathy in diseases classified elsewhere, right hand
4B613E48-28B0-44C5-88F9-2679342991DA	1	H11.41	Vascular abnormalities of conjunctiva
4B613E48-28B0-44C5-88F9-2679342991DA	2	D55.3	Anemia due to disorders of nucleotide metabolism
4B613E48-28B0-44C5-88F9-2679342991DA	3	J43.0	Unilateral pulmonary emphysema [MacLeods syndrome]",258
"154","African American","Female","English","Crohns disease of both small and large intestine without complications
5D04838C-4701-405A-BC15-04D839FAFAA0	2	C10.8	Malignant neoplasm of overlapping sites of oropharynx
5D04838C-4701-405A-BC15-04D839FAFAA0	3	C15.8	Malignant neoplasm of overlapping sites of esophagus
5D04838C-4701-405A-BC15-04D839FAFAA0	4	E08.32	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy
5D04838C-4701-405A-BC15-04D839FAFAA0	5	C72.3	Malignant neoplasm of optic nerve
D607EBB8-E810-4343-B80F-044704AEDFDF	1	M05.722	Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement
D607EBB8-E810-4343-B80F-044704AEDFDF	2	F06.3	Mood disorder due to known physiological condition
D607EBB8-E810-4343-B80F-044704AEDFDF	3	H16.4	Corneal neovascularization
D607EBB8-E810-4343-B80F-044704AEDFDF	4	M90.61	Osteitis deformans in neoplastic diseases, shoulder
C4BBF01E-D862-4350-8EB3-5401EE96F6C4	1	D17.21	Benign lipomatous neoplasm of skin and subcutaneous tissue of right arm
C4BBF01E-D862-4350-8EB3-5401EE96F6C4	2	D89.81	Graft-versus-host disease
C4BBF01E-D862-4350-8EB3-5401EE96F6C4	3	G47.61	Periodic limb movement disorder
118297FC-4708-4DA9-890B-EC7BD7CA25E8	1	J43.0	Unilateral pulmonary emphysema [MacLeods syndrome]",105
"155","African American","Female","English","Crohns disease of both small and large intestine
1753E0BF-FB16-40B4-96A5-80B460228FD6	1	Q25.5	Atresia of pulmonary artery
1753E0BF-FB16-40B4-96A5-80B460228FD6	2	M06.341	Rheumatoid nodule, right hand
1753E0BF-FB16-40B4-96A5-80B460228FD6	3	M36	Systemic disorders of connective tissue in diseases classified elsewhere
BFA41230-E499-458D-88C4-2DD9D8B0813E	1	M05.122	Rheumatoid lung disease with rheumatoid arthritis of left elbow
BFA41230-E499-458D-88C4-2DD9D8B0813E	2	I97.610	Postprocedural hemorrhage and hematoma of a circulatory system organ or structure following a cardiac catheterization
BFA41230-E499-458D-88C4-2DD9D8B0813E	3	H02.87	Vascular anomalies of eyelid
BFA41230-E499-458D-88C4-2DD9D8B0813E	4	E75.02	Tay-Sachs disease
CC8A2FA2-250B-483B-AA12-E623D25D0E43	1	G30.1	Alzheimers disease with late onset",264
